"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","101","should sanitize URL parameters @security @ui","chromium","Sun Dec 07 04:32:06 UTC 2025","passed","Sun Dec 07 04:32:07 UTC 2025","Security Tests","e2e/security.spec.js","",""
"","10217","should reset password with valid token @auth @ui","chromium","Sun Dec 07 04:31:32 UTC 2025","failed","Sun Dec 07 04:31:42 UTC 2025","Authentication Flow","e2e/auth.spec.js","",""
"","7971","should close modals with Escape key @accessibility @ui @keyboard","chromium","Sun Dec 07 04:30:27 UTC 2025","passed","Sun Dec 07 04:30:34 UTC 2025","Accessibility Tests","e2e/accessibility.spec.js","",""
"","272","should have skip to main content link @accessibility @ui @wcag","chromium","Sun Dec 07 04:30:35 UTC 2025","passed","Sun Dec 07 04:30:35 UTC 2025","Accessibility Tests","e2e/accessibility.spec.js","",""
"","6801","should validate content length limits @validation @ui","chromium","Sun Dec 07 04:32:26 UTC 2025","passed","Sun Dec 07 04:32:32 UTC 2025","Security Tests","e2e/security.spec.js","",""
"","313","should have proper ARIA labels @accessibility @ui @wcag","chromium","Sun Dec 07 04:30:34 UTC 2025","passed","Sun Dec 07 04:30:35 UTC 2025","Accessibility Tests","e2e/accessibility.spec.js","",""
"","2418","should reject password mismatch @validation @auth @ui","chromium","Sun Dec 07 04:31:43 UTC 2025","passed","Sun Dec 07 04:31:45 UTC 2025","Authentication Flow","e2e/auth.spec.js","",""
"","6946","should prevent XSS in username field @security @ui @critical","chromium","Sun Dec 07 04:31:46 UTC 2025","passed","Sun Dec 07 04:31:53 UTC 2025","Security Tests","e2e/security.spec.js","",""
"","11076","should handle forgot password flow @auth @ui","chromium","Sun Dec 07 04:30:50 UTC 2025","passed","Sun Dec 07 04:31:01 UTC 2025","Authentication Flow","e2e/auth.spec.js","",""
"","3597","should have semantic HTML structure @accessibility @ui @wcag","chromium","Sun Dec 07 04:30:35 UTC 2025","passed","Sun Dec 07 04:30:39 UTC 2025","Accessibility Tests","e2e/accessibility.spec.js","",""
"","719","should navigate between auth pages @auth @ui","chromium","Sun Dec 07 04:31:45 UTC 2025","passed","Sun Dec 07 04:31:46 UTC 2025","Authentication Flow","e2e/auth.spec.js","",""
"","279","should have proper focus indicators @accessibility @ui @wcag","chromium","Sun Dec 07 04:30:35 UTC 2025","passed","Sun Dec 07 04:30:35 UTC 2025","Accessibility Tests","e2e/accessibility.spec.js","",""
"","8194","should prevent XSS in todo title @security @ui @critical","chromium","Sun Dec 07 04:31:53 UTC 2025","passed","Sun Dec 07 04:32:01 UTC 2025","Security Tests","e2e/security.spec.js","",""
"","18704","should reset password with valid token @auth @ui","chromium","Sun Dec 07 04:31:01 UTC 2025","failed","Sun Dec 07 04:31:20 UTC 2025","Authentication Flow","e2e/auth.spec.js","",""
"","6161","should register a new user @smoke @auth @ui","chromium","Sun Dec 07 04:30:39 UTC 2025","passed","Sun Dec 07 04:30:45 UTC 2025","Authentication Flow","e2e/auth.spec.js","",""
"","10617","should reset password with valid token @auth @ui","chromium","Sun Dec 07 04:31:21 UTC 2025","failed","Sun Dec 07 04:31:31 UTC 2025","Authentication Flow","e2e/auth.spec.js","",""
"","19188","should handle suspicious activity @security @ui","chromium","Sun Dec 07 04:32:07 UTC 2025","passed","Sun Dec 07 04:32:26 UTC 2025","Security Tests","e2e/security.spec.js","",""
"","275","should handle autocomplete attributes correctly @accessibility @security @ui","chromium","Sun Dec 07 04:30:39 UTC 2025","passed","Sun Dec 07 04:30:39 UTC 2025","Accessibility Tests","e2e/accessibility.spec.js","",""
"","7660","should create a new todo @smoke @todo @ui","chromium","Sun Dec 07 04:32:33 UTC 2025","passed","Sun Dec 07 04:32:40 UTC 2025","Todo Management","e2e/todo.spec.js","",""
"","5067","should prevent SQL injection in login @security @ui @critical","chromium","Sun Dec 07 04:32:01 UTC 2025","passed","Sun Dec 07 04:32:06 UTC 2025","Security Tests","e2e/security.spec.js","",""
"","4408","should show error for invalid credentials @auth @ui @negative","chromium","Sun Dec 07 04:30:46 UTC 2025","passed","Sun Dec 07 04:30:50 UTC 2025","Authentication Flow","e2e/auth.spec.js","",""
"","455","should reject weak password @validation @auth @ui","chromium","Sun Dec 07 04:30:45 UTC 2025","passed","Sun Dec 07 04:30:46 UTC 2025","Authentication Flow","e2e/auth.spec.js","",""
